UUID_v4,repo,location,path,translation_needed,type,english,translation,Icelandic,context,key,delim,emoji,formating_exists
00918805-65ec-4530-bd73-8bf08face8b4,qa-crowdsourcing-app,src/components/atoms/cards/AnswerItem/index,qa-crowdsourcing-app/src/components/atoms/cards/AnswerItem/index,yes,text,user,user,notandi,A noun refering to the user,[[translation:00918805-65ec-4530-bd73-8bf08face8b4]],/,No,No
018ec61e-740e-47e3-8a65-77dd4d6f9ce1,qa-crowdsourcing-app,src/components/organisms/Game/ReviewAnswer/index.tsx,qa-crowdsourcing-app/src/components/organisms/Game/ReviewAnswer/index.tsx,yes,prompt,"Is the answer ""Yes""?","Is the answer ""Yes""?",Hvort er svarið já eða nei?,"This is shown to a user when evaluating an ""Yes/No"" answer. The question is asking the user whether the answer to the ""Yes/No"" question is ""Yes"". For example, if a user is asked ""Is water wet"" then they would respond with ""Yes""",[[translation:018ec61e-740e-47e3-8a65-77dd4d6f9ce1]],/,No,No
02fe5731-80ab-4216-8cac-1e93b6ba7f28,qa-crowdsourcing-app,src/components/organisms/Game/SelectSpan/index.tsx,qa-crowdsourcing-app/src/components/organisms/Game/SelectSpan/index.tsx,yes,title,Select answer snippet,Select answer snippet,Veldu fyrsta staf,"Instructions telling the user to select the first character of an answer span during the select span stage. This is a title so keep it short, and you can assume that there is more context on the screen for the user.",[[translation:02fe5731-80ab-4216-8cac-1e93b6ba7f28]],/,No,No
03af4942-c4db-4120-afec-b219ad306322,qa-crowdsourcing-api,src/routes/api/announcement/interface.ts,qa-crowdsourcing-api/src/routes/api/announcements/interface.ts,yes,text,Thursday,Thursday,fimmtudag,A day of the week,[[translation:03af4942-c4db-4120-afec-b219ad306322]],/,No,No
069990cf-44ef-4c10-aa6f-67ceef76f5b1,qa-crowdsourcing-app,src/components/organisms/Overlay/Motivation/index.tsx,qa-crowdsourcing-app/src/components/organisms/Overlay/Motivation/index.tsx,maybe,prizes / text,"Open the ""Prizes"" tab for more information","Open the ""Prizes"" tab for more information",Skoðaðu verðlaunaflipann fyrir meiri upplýsingar.,Not necessary if not implementing prizes. This text tells the user how to see more information for prizes. ,[[translation:069990cf-44ef-4c10-aa6f-67ceef76f5b1]],/,No,No
0af7678c-3379-41f2-8839-5c2aaa0f9131,qa-crowdsourcing-app,,,yes,button,Create a new account,Create a new account,Búa til nýjan aðgang,Button to access the registration view,[[translation:0af7678c-3379-41f2-8839-5c2aaa0f9131]],/,No,No
0bc8ab5f-2076-4a8f-8d2d-7c0309fc19ac,qa-crowdsourcing-api-retag,,,yes,prizes / text,The Winners,The Winners,Vinningshafar,Not necessary when not implementing prizes. This is a part of an automatic email sent to game admins that selects winners based on the chests / prize categories,[[translation:0bc8ab5f-2076-4a8f-8d2d-7c0309fc19ac]],,No,No
0f0ba1ba-3b00-44ba-9114-f68902c5ec0c,qa-crowdsourcing-app,src/services/Chests/index.ts,qa-crowdsourcing-app/src/services/Chests/index.ts,maybe,prizes / text ,Pro,Pro,Elítan,Not necessary if not implementing prizes. This text refers to a prize category / chest that a user can unlock. Prize category (4/5),[[translation:0f0ba1ba-3b00-44ba-9114-f68902c5ec0c]],/,No,No
106400a5-1f09-4bea-9459-0c5704fa8450,qa-crowdsourcing-app,,,yes,form,me@example.com,me@example.com,eg@netfang.is,"An email used as ""placeholder"" in email inputs in the app",[[translation:106400a5-1f09-4bea-9459-0c5704fa8450]],/,No,No
1259ccfc-ae1b-458e-8faa-e4e991ccc0b0,qa-crowdsourcing-app,,,yes,button,Confirm,Confirm,Samþykkja,Button Text,[[translation:1259ccfc-ae1b-458e-8faa-e4e991ccc0b0]],/,No,No
